FIPS.y,original,comparison,original_pop,comparison_pop,original_college_share,comparison_college_share
18091,"Vigo County, Indiana","LaPorte County, Indiana",107693,110552,0.11771424326557901,0.037692669512989364
18163,"Tippecanoe County, Indiana","Vanderburgh County, Indiana",189294,181313,0.22423848616437922,0.07200255911048849
19027,"Winneshiek County, Iowa","Carroll County, Iowa",20401,20344,0.1400421547963335,0.032933543059378685
19031,"Poweshiek County, Iowa","Cedar County, Iowa",18605,18445,0.11083042192958882,0.03431824342640282
19061,"Story County, Iowa","Dubuque County, Iowa",96922,96802,0.31889560677658324,0.07632073717485176
19135,"Decatur County, Iowa","Monroe County, Iowa",8044,7863,0.12232720039781203,0.01666030777057103
19149,"Bremer County, Iowa","Plymouth County, Iowa",24782,25039,0.10693245097248003,0.039817884100802746
19163,"Johnson County, Iowa","Scott County, Iowa",147001,172288,0.21199855783293992,0.059174173476968794
19193,"Black Hawk County, Iowa","Woodbury County, Iowa",133009,102398,0.1209166297017495,0.05634875681165648
20055,"Crawford County, Kansas","Finney County, Kansas",39108,36957,0.15666871228393167,0.05344048488784263
20103,"Riley County, Kansas","Leavenworth County, Kansas",75296,80042,0.28386634084147894,0.07638489792858749
20113,"Ellis County, Kansas","McPherson County, Kansas",28878,28630,0.16008726366091836,0.06238211666084527
20121,"Lyon County, Kansas","Miami County, Kansas",33299,33127,0.13613021412054416,0.037763757659914875
20133,"Atchison County, Kansas","Neosho County, Kansas",16363,16125,0.12424372058913402,0.05618604651162791
20193,"Doniphan County, Kansas","Thomas County, Kansas",7736,7824,0.10367114788004136,0.0736196319018405
21015,"Warren County, Kentucky","Boone County, Kentucky",126427,129095,0.1347655168595316,0.046074596227584336
21037,"Madison County, Kentucky","Campbell County, Kentucky",89700,92267,0.1499108138238573,0.08012615561359966
21083,"Calloway County, Kentucky","Graves County, Kentucky",38776,37294,0.18627501547348876,0.03957741191612592
21117,"Fayette County, Kentucky","Kenton County, Kentucky",318734,164688,0.12379915540858522,0.05230496453900709
21137,"Rowan County, Kentucky","Lincoln County, Kentucky",24499,24458,0.19862035185109597,0.03884209665549104
22051,"East Baton Rouge Parish, Louisiana","Jefferson Parish, Louisiana",444094,435300,0.10685800753894446,0.05695612221456467
22117,"Lincoln Parish, Louisiana","Washington Parish, Louisiana",47356,46457,0.21213784948053044,0.03575349247691414
22119,"Natchitoches Parish, Louisiana","Webster Parish, Louisiana",38963,39631,0.1277622359674563,0.03494738966970301
23011,"Penobscot County, Maine","Kennebec County, Maine",151748,121545,0.10055486727996416,0.061532765642354686
24015,"Wicomico County, Maryland","Cecil County, Maryland",102172,102517,0.11897584465411268,0.052537627905615655
24023,"Somerset County, Maryland","Garrett County, Maryland",25737,29376,0.14282938959474686,0.046875
24510,"District of Columbia, District of Columbia","Baltimore city, Maryland",684498,614700,0.10706532378472983,0.08855051244509517
25003,"Hampshire County, Massachusetts","Berkshire County, Massachusetts",161159,127328,0.22238906918012646,0.07271770545363157
25009,"Suffolk County, Massachusetts","Essex County, Massachusetts",791766,781024,0.14087116648100576,0.06380597779325603
26023,"Mecosta County, Michigan","Branch County, Michigan",43264,43584,0.16988720414201183,0.030125734214390604
26041,"Houghton County, Michigan","Delta County, Michigan",36360,36190,0.18096809680968096,0.03514783089251174
26049,"Washtenaw County, Michigan","Genesee County, Michigan",365961,409361,0.18978798287249188,0.05523975171059285
26139,"Ingham County, Michigan","Ottawa County, Michigan",289564,284034,0.18309941843599342,0.09448516726870727
26155,"Marquette County, Michigan","Shiawassee County, Michigan",66939,68493,0.12203648097521624,0.05215131473289241
27005,"Nicollet County, Minnesota","Becker County, Minnesota",33783,33773,0.10342479945534737,0.033991650134723
27025,"Winona County, Minnesota","Chisago County, Minnesota",50847,54727,0.17493657442916985,0.042830778226469565
27035,"Clay County, Minnesota","Crow Wing County, Minnesota",62801,63855,0.12737058327096704,0.034437397228094906
27109,"Stearns County, Minnesota","Olmsted County, Minnesota",156819,153065,0.11262665875946154,0.0633783033351844
27173,"Stevens County, Minnesota","Yellow Medicine County, Minnesota",9784,9868,0.14625919869174162,0.034049452776651806
28075,"Forrest County, Mississippi","Lauderdale County, Mississippi",75517,77323,0.12744150323768158,0.06321534342950998
28109,"Lafayette County, Mississippi","Pearl River County, Mississippi",53459,55149,0.24196112908958267,0.056338283559085385
28151,"Oktibbeha County, Mississippi","Washington County, Mississippi",49481,47086,0.31876882035528786,0.05177759843690269
28157,"Claiborne County, Mississippi","Wilkinson County, Mississippi",9120,8990,0.12949561403508772,0.01957730812013348
29027,"Phelps County, Missouri","Callaway County, Missouri",44789,44840,0.1583647770657974,0.0658563782337199
29051,"Cape Girardeau County, Missouri","Cole County, Missouri",78324,76740,0.12113783769981104,0.05531665363565286
29079,"Howard County, Missouri","Grundy County, Missouri",10113,10039,0.10451893602294077,0.057077398147225816
29099,"Boone County, Missouri","Jefferson County, Missouri",176515,223302,0.18921338129903975,0.04653787247763119
29131,"Adair County, Missouri","Miller County, Missouri",25325,25049,0.24343534057255675,0.033095133538265
29177,"Nodaway County, Missouri","Ray County, Missouri",22547,22825,0.23949971171330997,0.03487404162102957
29213,"Johnson County, Missouri","Taney County, Missouri",53689,54720,0.15781631246624075,0.061970029239766085
29510,"Greene County, Missouri","St. Louis city, Missouri",288429,311273,0.1159973511678784,0.08409338426397407
30029,"Gallatin County, Montana","Flathead County, Montana",104729,98082,0.13759321677854272,0.03087212740360107
30095,"Beaverhead County, Montana","Stillwater County, Montana",9393,9410,0.11114659853082082,0.038788522848034
31039,"Dawes County, Nebraska","Cuming County, Nebraska",8896,8991,0.18648830935251798,0.02825047269491714
31079,"Buffalo County, Nebraska","Hall County, Nebraska",49030,61343,0.1186008566183969,0.031266811209102914
31081,"Wayne County, Nebraska","Hamilton County, Nebraska",9367,9178,0.22483185651756166,0.029418173894094575
31131,"Seward County, Nebraska","Otoe County, Nebraska",17127,15896,0.10387108074969346,0.032083543029693004
31153,"Lancaster County, Nebraska","Sarpy County, Nebraska",310094,178351,0.1241720252568576,0.0715106727744728
31173,"Nemaha County, Nebraska","Thurston County, Nebraska",7004,7140,0.11764705882352941,0.040756302521008404
33001,"Cheshire County, New Hampshire","Belknap County, New Hampshire",76263,60640,0.10284148276359441,0.05046174142480211
